Slice,Count,Total Area,Average Size,%Area,Mean
D1C1,36,7071.833,196.44,12.692,255
D1C2,31,4806.722,155.056,12.717,255
D1C3,17,3984.972,234.41,15.094,255
D1C4,18,4383.389,243.522,12.878,255
D1C7,235,4602.972,19.587,2.286,255
D1C8,232,4125.889,17.784,1.818,255
D1SF1,36,5954.083,165.391,13.799,255
D1SF2,35,8395.444,239.87,15.255,255
D1SF3,56,10913,194.875,24.318,255
D1SF4,36,8031.972,223.11,19.93,255
D1SF5,23,5238.806,227.774,15.025,255
D1SF6,23,6905.111,300.222,23.789,255
D1SF7,119,3559.694,29.913,4.996,255
D1SF8,231,3903.806,16.9,1.975,255
D1SF9,275,8448.972,30.724,5.023,255
E2C1,95,6083.694,64.039,9.397,255
E2C2,24,3596.111,149.838,15.966,255
E2C5,31,4338.694,139.958,13.296,255
E2C6,14,3765.083,268.935,14.321,255
E2C7,186,4734.25,25.453,2.947,255
E2C8,285,6097.583,21.395,2.662,255
E2SF1,60,7565.444,126.091,12,255
E2SF2,52,3971.778,76.38,9.494,255
E2SF5,372,7475.445,20.095,2.705,255
E2SF6,276,5311.861,19.246,2.256,255
E2SF7,46,6670.528,145.011,14.44,255
E2SF8,37,6888.611,186.179,17.597,255
E4C1,33,7418.695,224.809,15.65,255
E4C10,164,4999.389,30.484,2.78,255
E4C11,270,6065.556,22.465,2.177,255
E4C12,104,4599.694,44.228,3.064,255
E4C2,30,5782.056,192.735,14.145,255
E4C3,28,5103.5,182.268,9.955,255
E4C5,52,6900.556,132.703,11.623,255
E4C6,23,4800.917,208.736,12.353,255
E4C7,20,5732.389,286.619,10.706,255
E4C8,46,10031.5,218.076,16.028,255
E4C9,288,5206.472,18.078,2.049,255
E4SF1,40,9121.333,228.033,22.256,255
E4SF10,245,7041.306,28.74,5.589,255
E4SF11,31,6139.222,198.039,16.942,255
E4SF13,6,4820.583,803.431,11.403,255
E4SF2,35,8111.222,231.749,20.479,255
E4SF3,80,10966.806,137.085,23.96,255
E4C4,24,6803.778,283.491,17.164,255
E4SF4,52,7565.333,145.487,15.01,255
E4SF5,50,7608.667,152.173,14.73,255
E4SF6,22,6623.833,301.083,12.594,255
E4SF7,343,5008.833,14.603,2.43,255
E5SF7,70,18358,262.257,19.697,255
E4SF8,366,6408.889,17.511,2.365,255
E4SF9,152,3628.972,23.875,2.329,255
E5C1,21,2800.5,133.357,12.281,255
E5C10,370,7277.472,19.669,3.433,255
E5C11,254,5522.667,21.743,3.512,255
E5C12,183,4141.833,22.633,3.008,255
E5C2,32,2335.639,72.989,8.248,255
E5C3,37,3158.389,85.362,7.086,255
E5C4,26,2654.444,102.094,9.579,255
E5C5,48,7079.639,147.492,15.224,255
E5C6,33,5341.833,161.874,14.527,255
E5C7,27,7443.861,275.699,22.388,255
E5C8,23,8475.361,368.494,26.142,255
E5C9,234,5955.861,25.452,3.786,255
E5SF1,30,4026.278,134.209,10.534,255
E5SF10,590,11755.278,19.924,3.498,255
E5SF11,254,7733.167,30.446,3.756,255
E5SF12,212,6559.417,30.941,4.719,255
E5SF2,55,10531.305,191.478,13.82,255
E5SF3,37,4369.222,118.087,9.883,255
E5SF5,25,6243.611,249.744,18.601,255
E5SF6,51,8842.778,173.388,15.203,255
E5SF8,41,5784.611,141.088,13.041,255
E5SF9,437,9088.139,20.797,3.033,255
X1C1,46,3842.278,83.528,9.536,255
X1C2,41,4285.361,104.521,7,255
X1C3,407,7053.5,17.33,1.915,255
X1C4,281,4581.5,16.304,1.639,255
X1C7,20,8229.25,411.463,25.359,255
X1C8,20,5009.056,250.453,15.208,255
X1SF1,15,4177.611,278.507,10.917,255
X1SF10,256,3732.111,14.579,2.074,255
X1SF11,34,6107.694,179.638,10.709,255
X1SF2,44,2927.917,66.544,6.299,255
X1SF4,211,5845.056,27.702,3.173,255
X1SF3,298,5032.083,16.886,1.93,255
X1SF5,76,7524.25,99.003,14.429,255
X1SF6,25,6041.611,241.664,15.313,255
X1SF9,63,5318.472,84.42,6.736,255
X3C1,21,1969.806,93.8,6.655,255
X3C10,268,5764.167,21.508,2.55,255
X3C11,344,8004.306,23.268,2.887,255
X3C2,17,2558.861,150.521,6.883,255
X3C3,18,2305.583,128.088,10.928,255
X3C6,50,9885.306,197.706,15.238,255
X3C7,33,6767.139,205.065,16.145,255
X3C8,299,7017.417,23.47,2.979,255
X3C9,227,3823.639,16.844,2.067,255
X3SF1,29,3576.833,123.339,12.545,255
X3SF10,209,3350.222,16.03,1.618,255
X3SF11,230,5120.833,22.264,2.542,255
X3SF12,262,5211.5,19.891,2.579,255
X3SF2,91,5868.889,64.493,12.303,255
X3SF3,16,5062.194,316.387,20.087,255
X3C4,24,3319.667,138.319,21.853,255
X3SF4,25,4203.194,168.128,28.863,255
X3C5,34,9070.056,266.766,21.299,255
X3SF5,21,5612.083,267.242,22.254,255
X3SF6,35,6519.111,186.26,12.671,255
X3SF7,17,5677.139,333.949,25.872,255
X3SF8,48,5866.639,122.222,25.461,255
X3SF9,275,6989.167,25.415,3.473,255
