focal;SLA;LA;func.group;RMF;Lateral spread;LDMC;AGR;Plant_height_standing
Agrostis capillaris;21.19840878;2167.046;Grass;0.705714298;42.6;0.343310545;6.8787;362
Antennaria dioica;25.92888764;1225.8375;Forb;0.255664035;109;0.741818164;2.4043;50.2
Briza media;25.03137778;6836.681;Grass;0.423618104;43;0.291964128;2.60282;314.6
Cardamine pratensis;18.81418556;2754.076;Forb;0.374727078;106;0.304105889;4.70468;105.8
Dianthus deltoides;20.09918203;587.5075;Forb;0.335282055;29.8;0.351165204;4.14766;212
Festuca rubra;13.82512519;1817.315714;Grass;0.533478815;0;0.328653861;6.10152;420
Lathyrus sylvestris;34.72585573;3952.537778;Legume;0.176980383;0;0.186013977;7.76236;498
Leucanthemum vulgare;18.25134382;6916.073077;Forb;0.500943515;43;0.178484454;5.78628;97.8
Lotus corniculatus;24.54854742;1816.404444;Legume;0.189317209;0;0.227800744;8.57782;388
Phalaris arundinacea;35.40673187;13962.60286;Grass;0.462972701;82.5;0.266246878;6.739525;590
Poa pratensis;12.75216809;5197.152;Grass;0.604055908;35.6;0.387838121;4.26828;422
Sedum acre;26.53949798;62.288;Forb;0.154041733;130;0.083266172;3.04442;66.6
Trifolium pratense;30.6115043;8199.282308;Legume;0.099102105;0;0.229195914;10.19054;417
Trifolium repens;39.04609053;7080.867727;Legume;0.101583609;130;0.197781641;11.12388;355.4
Viccia cracca;37.37644431;5199.742143;Legume;0.242412585;57;0.267928359;11.06552;392.2
